% time	cellId	IMSI	RNTI	rsrp	sinr
1.93721	1	1	1	1.6395e-10	345638
1.93821	1	1	1	1.64054e-10	345855
1.93921	1	1	1	1.64157e-10	346073
1.94021	1	1	1	1.6426e-10	346291
1.94121	1	1	1	1.64364e-10	346509
1.94221	1	1	1	1.64467e-10	346728
1.94321	1	1	1	1.64571e-10	346946
1.94421	1	1	1	1.64675e-10	347165
1.94521	1	1	1	1.64778e-10	347383
1.94621	1	1	1	1.64882e-10	347602
1.94721	1	1	1	1.64986e-10	347822
1.94821	1	1	1	1.6509e-10	348041
1.94921	1	1	1	1.65194e-10	348260
1.95021	1	1	1	1.65299e-10	348480
1.95121	1	1	1	1.65403e-10	348700
1.95221	1	1	1	1.65507e-10	348920
1.95321	1	1	1	1.65611e-10	349140
1.95421	1	1	1	1.65716e-10	349360
1.95521	1	1	1	1.65821e-10	349580
1.95621	1	1	1	1.65925e-10	349801
1.95721	1	1	1	1.6603e-10	350022
1.95821	1	1	1	1.66135e-10	350243
1.95921	1	1	1	1.66239e-10	350464
1.96021	1	1	1	1.66344e-10	350685
1.96121	1	1	1	1.66449e-10	350906
1.96221	1	1	1	1.66555e-10	351128
1.96321	1	1	1	1.6666e-10	351349
1.96421	1	1	1	1.66765e-10	351571
1.96521	1	1	1	1.6687e-10	351793
1.96621	1	1	1	1.66976e-10	352016
1.96721	1	1	1	1.67081e-10	352238
1.96821	1	1	1	1.67187e-10	352460
1.96921	1	1	1	1.67292e-10	352683
1.97021	1	1	1	1.67398e-10	352906
1.97121	1	1	1	1.67504e-10	353129
1.97221	1	1	1	1.6761e-10	353352
1.97321	1	1	1	1.67716e-10	353576
1.97421	1	1	1	1.67822e-10	353799
1.97521	1	1	1	1.67928e-10	354023
1.97621	1	1	1	1.68034e-10	354247
1.97721	1	1	1	1.6814e-10	354471
1.97821	1	1	1	1.68246e-10	354695
1.97921	1	1	1	1.68353e-10	354919
1.98021	1	1	1	1.68459e-10	355143
1.98121	1	1	1	1.68566e-10	355368
1.98221	1	1	1	1.68673e-10	355593
1.98321	1	1	1	1.68779e-10	355818
1.98421	1	1	1	1.68886e-10	356043
1.98521	1	1	1	1.68993e-10	356268
1.98621	1	1	1	1.691e-10	356494
1.98721	1	1	1	1.69207e-10	356719
1.98821	1	1	1	1.69314e-10	356945
1.98921	1	1	1	1.69421e-10	357171
1.99021	1	1	1	1.69528e-10	357397
1.99121	1	1	1	1.69636e-10	357624
1.99221	1	1	1	1.69743e-10	357850
1.99321	1	1	1	1.69851e-10	358077
1.99421	1	1	1	1.69958e-10	358303
1.99521	1	1	1	1.70066e-10	358530
1.99621	1	1	1	1.70174e-10	358757
1.99721	1	1	1	1.70281e-10	358985
1.99821	1	1	1	1.70389e-10	359212
1.99921	1	1	1	1.70497e-10	359440
2.00021	1	1	1	1.70605e-10	359668
2.00121	1	1	1	1.70713e-10	359895
2.00221	1	1	1	1.70822e-10	360124
2.00321	1	1	1	1.7093e-10	360352
2.00421	1	1	1	1.71038e-10	360580
2.00521	1	1	1	1.71147e-10	360809
2.00621	1	1	1	1.71255e-10	361038
2.00721	1	1	1	1.71364e-10	361267
2.00821	1	1	1	1.71472e-10	361496
2.00921	1	1	1	1.71581e-10	361725
2.01021	1	1	1	1.7169e-10	361954
2.01121	1	1	1	1.71799e-10	362184
2.01221	1	1	1	1.71908e-10	362414
2.01321	1	1	1	1.72017e-10	362644
2.01421	1	1	1	1.72126e-10	362874
2.01521	1	1	1	1.72235e-10	363104
2.01621	1	1	1	1.72345e-10	363334
2.01721	1	1	1	1.72454e-10	363565
2.01821	1	1	1	1.72563e-10	363796
2.01921	1	1	1	1.72673e-10	364027
